Short,Long,Control
ad,acdc,2
bl,barrel_connector,0
bt,battery,1
cn,centre,1
cn,center,1
co,continuity,0
cr,connector,0
ct,connector_type,0
cu,current,2
cx,continuities,0
dg,digital,2
dp,digital_protocol,0
dt,data,2
dv,delivers,0
eb,equipment_external_battery_port,2
fe,free,1
ff,fixed_or_free,0
fm,format,0
fn,function,0
fs,false,1
fx,fixed,1
gd,ground,1
gd,earth,1
gn,group_name,0
gp,gold_pin,0
i6,iec_60320,1
ic,iec_code,0
ie,iec_mains,0
il,iec_letter,0
im,iec_mains,1
in,input,2
ip,power_input,0
is,inside,2
lt,lights,1
mc,max_rated_current,0
mf,gender,0
nm,name,0
np,port_name,0
nw,number_of_ways,0
oc,other_connector,1
op,power_output,1
os,outside,2
ot,out_ports,0
os,outputs,2
ou,output,2
p1,p1name,0
p2,p2name,0
pg,plug,1
pl,pole,0
pn,negative,1
po,pinout,0
pp,positive,1
pr,pinout_pair,0
ps,ports,0
pt,port,0
rg,ring,1
sc,screen,1
se,stored_energy,0
sh,shell,1
si,solar_input,1
sk,socket,1
ss,solar_source,1
su,supports,0
sv,sleeve,1
tb,terminal_block_or_bare_wire,0
tc,total_current,0
tp,tip,1
ts,types,0
tt,talks_to,0
tx,test,1
ty,type,0
ua,usb-Type A,1
ub,usb-Type B,1
uc,usb-C,1
v2,vmin2,0
vd,voltage_with_droop,1
vg,voltage,2
vh,vmax,0
vl,vmin,0
